,Location_of_Death
"Body recovered at Almutred Shore, Libya",2
"Unspecified location in Iranshahr city, Iranshahr county, Iran",2
"Unsepecified location in the Greek forest on Turkish border, Greece",2
"SabhÄ, Libya",2
"Tamanrasset, Algeria border point",2
Off the coast of Tunisia,2
"RÃ­o Bravo, near Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico",2
"Al Jawf, Kufra, Libya",2
"Evros/MeriÃ§ river, Edirne, TÃ¼rkiye, near border with Greece",2
"Mahdia, Sabha, Libya",2
"Unspecified location in the Gibraltar Strait, between Morocco and Spain",2
"Desert outside Dirkou, Niger",2
"In the desert, near Khartoum, Sudan",2
"About 20 KM North of Alataya, Kerkennah Islands, Tunisia",2
"Near Ajdabiya, Libya",2
"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico",2
"Rio Bravo, Morelos Colony, AcuÃ±a, Coahuila, Mexico",2
"Remains found washed up to seashore in Tadjourah, Djibouti",2
"Al Jawf, Al Kufra, Libya",2
"Rio Grande, Tamaulipas, Mexico",2
Unknown,2
"Off the coast of Samos, Greece",2
"Mountain cave near Aswan, Egypt",2
"Bodies recovered near Az Zawiyah, Libya",2
"La India Ranch, Brooks County, Texas",2
"La Rumorosa mountain range, Baja California, Mexico",2
"Bodies found near Tripoli, Libya",2
"Bodies found at Port of Ketef, near Ben GuerdÃ¨ne, Tunisia",2
"Off the coast of Zawiya, Libya",2
"Rio Bravo, Coahuila, Mexico",2
"Unspecified location in Tabriz city, East Azerbaijan Province, Iran",2
"Rio Bravo at El Patinadero, Colonia Viveros 88070, Nuevo Laredo, Tamaulipas, Mexico",2
"Bodies recovered near BaÅkale, Van, TÃ¼rkiye, on the border with Iran",2
"Sahara Desert, between Khartoum, Sudan and Bani Walid, Libya",2
"Gibraltar Strait, between Spain and Morocco",2
"near Sabratha, Libya",2
"Off the coast of Al-Hoceima, Morocco (Alboran Sea)",2
"Remains washed ashore at Garabuli, Libya",2
"Rio Bravo near Morelos Colony, Piedras Negras, Coahuila ,Mexico",2
"Near Aswan, Egypt",2
"Syrian/Turkish border near Tal Abyad, Idlib province",2
"Shiraz, Iran",2
"North Nile Delta, Borg Meghezil village in the Metobas region, Egypt",2
"Calais Port ring road, France",2
Unspecified location in the Bulgarian forest,2
"Rio Grande, near Reynosa, Tamaulipas, Mexico",2
Unspecified location in the Greek forest,2
Unspecified location in the Chanel of Sicily,2
"RÃ­o Bravo, near Patricio Perez, Havana, Hidalgo County, Texas, US",2
"Evros/MeriÃ§ river, Ipsala district, TÃ¼rkiye",2
"Off the coast of Ayvalik, TÃ¼rkiye",2
"Orumia, Iran",2
"unspecified location off Cherchell, Tipaza, Algeria",2
"Off the coast of Al-Sudaf, Lahij Governorate, Yemen",2
"Syria-TÃ¼rkiye border near Iskenderun, Hatay, TÃ¼rkiye",2
"Alborz, Iran",2
"Remains washed ashore at La Ribera Beach, Ceuta, Spain",2
"Bosaso Hospital, Bosaso, Somalia",2
"Mariposa Ranch, Brooks County, Texas",2
"El Patinadero, Nuevo Laredo, Tamaulipas, Mexico",2
"RÃ­o Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",2
"Morelos Dam, Vicente Guerrero, Mexicali, Baja California, Mexico",2
"Karaburun, Izmir, TÃ¼rkiye",2
"Remains washed ashore at Surman beach, Libya",2
"Garin Kowa, Niger",2
Straits of Yemen,2
"Bravo River in Presidentes Colony, Piedras Negras, Coahuila, Mexico",2
"Off Nador, Morocco",2
"Remains washed ashore in Daryanah, Benghazi, Libya",2
"Sahara desert, near Wadi Halfa, Sudan, on border with Egypt",2
"Between Zuwara and Sabratha, Libya",2
"Remains washed ashore in Garabulli (Castelverde), Libya",2
"Unspecified location in the Sahara desert in Chad, on the border with Libya",2
"Shandi, Sudan",2
"Kessela, Sudan",2
"Karora, Eritrea",2
"Kolpa/Kupa river, Ärnomelj, Slovenia",2
"Unspecified location off the coast of Tobruk, Libya",2
"Body found near border fence in Anyera, Ceuta, Spain",2
"Syria - Turkey border, at Kobani Tel Shair",2
"Rio Bravo near Guerrero, Coahuila, Mexico",2
"Sahara desert, near Ajdabiya, Libya",2
"Unspecified location in the desert, Sudan, near border with Libya",2
"Bandar Abbas, Hormozgan province, Iran",2
"Ndjamena, Chad",2
"Off the coast of Mahdia, Tunisia",2
"Turquesa River, close to the Colombian border, Darien Gap, Panama",2
Remains washed ashore at an unspecified location in Libya,2
"Nyala, Sudan",2
"Nyali (Nyala), Sudan",2
"Boca del Rio MarragantÃ­, Comarca EmeberÃ¡-CÃ©maco, Darien Gap, Panama",2
"Off the coast of Nouadhibou, Mauritania",2
"Off the coast of Tan-Tan, Morocco",2
"Harbor of Melilla, Spain",2
"Unspecified location in the Sahara Desert, Sudan near border with Libya",2
"Luxor, Egypt",2
"Fars province, Iran",2
"Off the coast of BenzÃº, Ceuta, Spain",2
"Remains recovered from the coast of Chebba, Mahdia, Tunisia",2
"Fars, Iran",2
"Mazandaran, Iran",2
"Unspecified location in Bandar Abbas city, Hormozgan Province, Iran",2
"Taza, Niger",2
"Remains recovered from the coast of MelloulÃ¨che, Mahdia, Tunisia",2
"Body found on San Amaro beach, Ceuta, Spain",2
"Wad Madani, Sudan",2
"Asfahan province, Iran",2
"Off the coast of Lesvos, Greece",2
"Unspecified location in Kashan city, Isfahan province, Iran",2
"Remains washed ashore at Zliten, Libya",2
"Karaj, Alborz province, Iran",2
"Piedras Negras, Coahuila, Mexico",2
"Unspecified location in Karaj city, Alborz province, Iran",2
"RÃ­o Bravo, near Ejido Santo Domingo, Guerrero, Coahuila, Mexico",2
"RÃ­o Bravo, Ciudad Juarez, Chihuahua, Mexico",2
"Herradura Bay, AlmuÃ±Ã©car, Granada, Spain",2
"Rio Bravo near International Bridge II, Piedras Negras, Coahuila, Mexico",2
"Salvador Chavarria General Hospital, Bulevar Centenario 901, Ejido Villa de Fuente, 26090 Piedras Negras, Coahuila, MÃ©xico",2
"Unspecified location in Mirjaveh district, Sistan & Baluchestan province, Iran",2
"Sahara Desert , Sudan",2
"Syrian/Turkish border, near Hatay, TÃ¼rkiye",2
"Sevare, Mali",2
"Unspecified location between Tunisia and Lampedusa, Italy in Italian SAR Zone",2
"Unspecified location in Borazjan, Bushehr province, Iran",2
"Unspecified location between Larestan and Bandar-e-Abbas counties, Hormozgan Province,Iran",2
"Shimaliya Province, Sudan",2
"In the Sahara Desert, Libya",2
"Body washed up on the beach of Sangatte, Pas-de-Calais, France",2
"Off the coast of Shabwa, Hadhramaut Governorate, Yemen",2
"Hospital General de Tijuana, Baja California, Mexico (in caravan)",2
"Ribta, Djibouti",2
"Off the coast of ÃeÅme, Izmir, TÃ¼rkiye",2
"Off the coast of La Laouata, Sfax, Tunisia",2
"Off Sfax, Tunisia - embarkation from Laouata, Sfax, Tunisia",2
"Remains washed ashore at Tajoura, Libya",2
"Off the coast of Tripoli, Libya",2
"On the route from Algeria to Assamaka, Niger",2
"Remains washed ashore at Az Zawiyah, Al Harsha, Libya",2
"Unspecified location between Lar and Shiraz cities, Fars district, Iran",2
"Rio Grande, at Nuevo Laredo, Tamaulipas, Mexico",2
"Off La Louza, Sfax, Tunisia",2
"In the Verkhnedvinsk district on the Latvian border, Belarus",2
"Bani Ayash, Sa'dah governorate, Yemen",2
"off the coast of Samos, Greece",2
"Maradi, Niger",2
"off the coast of Agathonisi, Greece",2
"Niger-Algeria border, near NâGuezzam, Algeria",2
"Shihan border point between Yemen and Oman, Al Mahrah governorate, Yemen",2
"Shaybah Valley, Jazan-Aseer province, Saudi Arabia",2
"Unspecified location in MeriÃ§ district, Edirne, TÃ¼rkiye (close to the border with Greece)",2
"Remains recovered off Daryanah (40km NE Benghazi), Libya",2
"Unspecified location in Shiraz province, Iran",2
"Rio Grande near Guerrero, Coahuila, Mexico",2
"Evros/MeriÃ§ river, Edirne, TÃ¼rkiye",2
"Dos Jefes Pasture Laborcitas Creek Ranch, Brooks County, Texas",2
"Off the coast of Oran, Algeria",2
"RÃ­o Bravo, Matamoros, Tamaulipas, Mexico",2
Unspecified location off the coast of Morocco,2
"Off the coast of Izmir, TÃ¼rkiye",2
"Remains washed ashore 5KM West of Sabratha DP, Sabratha, Libya",2
"Berber, Sudan",2
Shore of Kos,2
"Unspecified near Lampedusa, Italy after departure from Sfax, Tunisia",2
"off the coast of Ro, Greece",2
"RÃ­o Bravo, near La Playita, Reynosa, Tamaulipas, Mexico",2
Gulf of Aden,2
"Garinkowa, Niger, near the border with Nigeria",2
"Remains washed ashore 7KM West of Sabratha DP, Sabratha, Libya",2
"RÃ­o Bravo, near Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico",2
"Unspecified location in Larestan district, Fars province, Iran",2
"Between Bani Waled and Tripoli, Libya",2
Unspecified location between Morocco and Spain,2
"Evros/MeriÃ§ river, MeriÃ§ District, Edirne, TÃ¼rkiye",2
"Rio Bravo near Camino Real International Bridge, Piedras Negras, Coahuila, Mexico",2
"Near Dirkou, Niger",2
"Eritrea, near the border with Sudan",2
"Bodies recovered in Az Zawiyah, Libya",2
"Unspecified location in Arak county, Markazi province, Iran",2
"Nogales, Sonora, Mexico",2
"Unspecified Location off the Tunisian Coast, Sfax, Tunisia ",2
"Body retrieved in Al Maya, west of Tripoli, Libya",2
"Torghondai village, Kushk e Rubat Sangi district, Herat province, Afghanistan",2
"Port of Calais, France",2
"Kalymnos, Greece",2
"RÃ­o Bravo, near Guerrero, Coahuila, Mexico",2
"Bodies found on the shores of Zuwara, Libya",2
"Unspecified location in Ahvaz district, Khuzestan province, Iran",2
"Bodies washed ashore near Abukamash, Libya",2
"Awbari, Libya",2
"Unspecified location in Bordj Badji Mokhtar, Algeria",2
"Off the coast of Al-Hoceima, Morocco",2
Italy waters,2
"Unspecified location in Bandar Bul Khair village, Bushehr province, Iran",2
"In the desert near Aswan, Egypt",2
"Bambara Maounde, Mali",2
"Rio Bravo near Ejido La Navaja, Piedras Negras, Coahuila, Mexico",2
"Unspecified location in Manujan district, Kerman province, Iran",2
"Singa, Sudan",2
"KhÃ´r 'Angar, Obock, Djibouti",1
"Rio Bravo, unspecified location, Mexico",1
"In a hospital in Postojna, Slovenia - run over at the train tracks on 5 June",1
"Rio Bravo, approximately 29 miles southeast of Piedras Negras, Coahuila, Mexico",1
"Remains retreived at sea off Cap Rouge, Cherchell, Tipaza, Algeria",1
"Highway 57 near Villa de la Fuente, Piedras Negras, Coahuila, Mexico",1
"Remains caught in fishing nets 3 nautical miles East port de Cherchell, Tipaza, Algeria",1
"Off the coast of Tunisia in the Gulf of GabÃ¨s, close to the ""Miskar"" gas platform",1
"7 nautical miles north of Qarapoli (Castelverde), Libya - Remains washed ashore at Qarapoli and Tajoura in following days",1
"Off the coast of Las Galeras Beach, Municipality of Santa Barbara de Samana, Samana Gulf, Dominican Republic",1
"Rio Bravo, Santa MarÃ­a neighborhood, Piedras Negras, Coahuila, Mexico",1
"Shipwreck off the coast of Zuwara, Libya",1
"Remains recovered off BouÃ©ni, Mayotte - Embarkation from Anjouan, Comoros",1
"Remains retreived at sea 2 miles off Cherchell coast, Tipaza, Algeria",1
"Remains washed ashore at Al Matrud Area/Abu Issa, West Zawiyah, Libya",1
"Remains washed ashore at Al Khums, Libya",1
"Off Kelibia, Nabeul, Tunisia",1
"Rio Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, Ejido El Centinela, close to Piedras Negras, Coahuila, Mexico",1
"Remains found in Evros/MeriÃ§ River, near Mandra, Greece",1
"Tarajal beach, Ceuta, Spain",1
"On board a boat off N'Tireft village, Dakhla, Western Sahara",1
"18 nautical miles north of Zliten, Libya",1
"Remains washed ashore at Tarajal beach, Ceuta, Spain",1
"Remains washed ashore at Slouquia, Tangier, Morocco",1
"Remains washed ashore at Tolmeita, Marj, Libya",1
"Northwest of Sicily, off the island of Levanzo, in the Egadi archipielago, Italy",1
"Banks of the Marraganti River, EmberÃ¡ Wounaan Comarca, Panama",1
"Rio Escondido, close to Rio Bravo in Piedras Negras, Coahuila, Mexico",1
"At the crossing of 20 de noviembre st. and Vicente SuÃ¡rez st., Partido Escobedo, Ciudad Juarez, Chihuahua, Mexico",1
"Evros/MeriÃ§ river, AlibeykÃ¶y Village, MeriÃ§ District, TÃ¼rkiye",1
"Zegar settlement, Bihac, Una-Sana Canton, Bosnia and Herzegovina",1
"29 nautical miles off the coast of Zuwara, Libya - embarkation on 23.08 from Zuwara,29nautical miles off the coast of Zuwara, Libya - embarkation on 23.08 from Zuwara",1
"In El Faro, Tamaulipas, Mexico",1
"Remains found on road to Chadian border 200 KM Southeast Qatrun, Libya",1
"Puerto de Anapra, Ciudad JuÃ¡rez, Chihuahua, Mexico",1
"Lamharza Essahel (Moon beach), El Jadida, Morocco",1
"12km east of Lanzarote, Canary Islands, Spain",1
"In the water off Habibas Islands, Algeria",1
"250km off Gran Canaria, Canary Islands, Spain - embarkation from the Western Sahara about one week earlier.",1
"Unspecified location in the Darien Gap, Panama",1
"In the Hospital Universitario, Ceuta, Spain",1
"Close to the border with Lithuania, in Byenyakoni, Belarus ",1
"At the Mali-Algeria border, between In-Halil (Mali) and Borj (Algeria)",1
"Remains washed ashore at Qerqarish, Libya",1
"Evros/MeriÃ§ river, around KapÄ±kule border crossing, Edirne, TÃ¼rkiye",1
"Off Port of Sfax,Tunisia",1
"Remains transported from oil rig after sinking off Taguermess, Djerba, Medinine, Tunisia",1
"In the Bab el-Mandeb Strait, approximately 10 miles from the shores of Ras al-Ara, Lahij  governorate, Yemen - Boat departed from Obock, Djibouti",1
Unspecified location in the Malta SAR zone - departure from Libya on 12 July,1
"Unspecified location off the coast of Morocco - embarkation from Boujdour, Western Sahara on the night of 11 July",1
"Remains washed ashore at Ras Lamsa, Zarzis, Medinine, Tunisia",1
