,Location_of_Death
"RÃ­o Bravo, near Colonia Los Pinos, Matamoros,Â Tamaulipas, Mexico",1
"Off the coast of Aglou, province of Tiznit, Morocco",1
"Off the coast of CaÃ±os de Meca, CÃ¡diz, Spain",1
"RÃ­o Bravo, near Rancho Las Dos Cruces, Guerrero, Coahuila, Mexico",1
"Road near Saray, Van province, TÃ¼rkiye",1
"Syria-TÃ¼rkiye border,Â Jarabulus, Aleppo Governorate, Syria",1
"Vrasna interchange between Egnatia Odos (A2) and Thessaloniki-Kavala National Highway, near Thessaloniki, Greece",1
"Off the coast of Chilches, MÃ¡laga, Spain",1
"Unspecified location between Dikili, TÃ¼rkiye and Lesvos, Greece",1
"Egnatia Odos (A2) motorway, outside Thessaloniki, Greece",1
"Hospital in Belgrade, died from injuries sustained during journey to Serbia",1
"Off Isola del Toro, Sardinia, Italy",1
"RÃ­o Bravo, near Colonia Control Tres Norte, Matamoros, Tamaulipas, Mexico",1
"Bodies recovered off the coast of Tabarka and Banzart, Tunisia",1
"Inside a railroad wagon near Sid, province of Vojvodina, Serbia",1
"Highway in Tijuana, near border wall, Baja California, Mexico",1
"Unspecified location in the Alboran Sea. Survivors and recovered bodies disembarked in AlmerÃ­a, Spain",1
"Bamako, Mali",1
"Died in hospital in Al Khums, Libya - after disembarkation",1
"Body recovered six nautical miles off the port of BÃ©ni-Saf, Ain TÃ©mouchent, Algeria",1
"RÃ­o Bravo, near Planta Tratadora de Aguas Negras de la ComisiÃ³n Municipal de Agua Potable y Alcantarillado, Nuevo Laredo, Tamaulipas, Mexico",1
"Body recovered on Plage de Bahara, near Ouled Boughalem, province of Mostaganem, Algeria (Alboran Sea)",1
"Avenida TecnolÃ³gico, Ciudad JuÃ¡rez, Chihuahua, Mexico",1
"Malanville, Benin, on border with Niger",1
"Syria-TÃ¼rkiye border, near Darkush, Idlib province, Syria",1
"Off the coast of CapurganÃ¡, municipality of AcandÃ­, ChocÃ³, Colombia",1
"RÃ­o Bravo, near Rancho Don Eutimio, KM 210 Carretera RibereÃ±a, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of Godoria, Obock, Djibouti - en route to Yemen",1
"Hospital in Velika Kladusa,Â Una-Sana, Bosnia and Herzegovina, after being run over by a car on a road near the border with Croatia",1
"BuildingÂ in Prijedorska street, Sarajevo, Bosnia and Herzegovina",1
"Body recovered on Plage El Djebel, between El Kala and Messida, wilaya of El Tarf, Algeria",1
"Unspecified location in the Gibraltar Strait, off the coast of Tangiers, Morocco",1
"Highway RN 94 between BrianÃ§on and MontgenÃ¨vre, near Val-des-PrÃ¨s, Hautes-Alpes, France",1
"RÃ­o Bravo, near Las Piedritas, Camargo, Tamaulipas, Mexico",1
"Vodni dol forest area, south of Pasjak/Rupa border crossing, Croatia",1
"Bambara MaoudÃ©, near Timbuktu, Mali",1
"13 nautical miles off the coast of Kristel, commune de Gdyel, province of Oran, Algeria",1
Unspecified location on the Tunisia-Libya border,1
"Oursi, Burkina Faso, near border with Mali",1
"Malbo, Dori, Burkina Faso, near border with Mali",1
"Bodies recovered in Al-Thalathin, Sirte, Libya",1
"Evros/MeriÃ§ river, between PaÅakÃ¶y and YenicegÃ¶rece, Edirne, Greece-TÃ¼rkiye border",1
"Bodies found on boat off the coast of Tripoli, Libya",1
"El Oued, Algeria",1
"Off the coast of Farmakonisi, Greece",1
"Body recovered on beach near Cabo de Sabinar, Almerimar, El Ãjido, AlmerÃ­a, Spain (Alboran Sea)",1
Unspecified location between North Africa and Spain,1
"Off the coast of TÃ©nÃ¨s, wilaya of Chlef, Algeria",1
"Body recovered in Calamacarro, near BenzÃº, Ceuta, Spain",1
"Near Bosaso entry check point, Somalia",1
"Drina River, in Tabanci, near Zvornik, Bosnia",1
"Locked up somewhere in Qatrun, Libya",1
"Bechar, Algeria",1
"Unspecified location in the Alboran Sea, between Spain and Morocco (recovered by the Moroccan Navy)",1
"Body recovered in the Gibraltar Strait, 12 miles southeast of Cape Trafalgar, off the coast of Barbate, CÃ¡diz, Spain",1
"Bodies recovered on the shores of Al-Sawawa, Sirte, Libya",1
"Body recoveredÂ on Playa de Calahonda, Mijas,Â MÃ¡laga, Spain (Alboran Sea)",1
"Off the coast of Torre Melissa, Calabria, Italy (boat left from Greece)",1
"RÃ­o Bravo, near Rancho Las Trancas, JimÃ©nez, Coahuila, Mexico",1
"Northern Niger, near border with Libya",1
"Off the coast of Beni Ensar, Nador province, Morocco (Alboran Sea)",1
"Highway 515 near Blainville-sur-Orne, between Caen and Ouistreham,Â Normandie, France",1
"Unspecified loction in the Sahara Desert, Libya",1
"Body recovered near Benghazi, Libya",1
"Kurfra, Libya",1
"5 miles from Kusadasi, KuÅadasÄ±/AydÄ±n Province, TÃ¼rkiyeÂ ",1
"Rancho El Caporal, Piedras Negras, Coahuila, Mexico",1
"Sahara Desert, near border, Libya",1
"Evros/MeriÃ§ river, between Ä°psala and MeriÃ§, Edirne, Greece-TÃ¼rkiye border",1
"Body recovered near Brega, Libya",1
"Off the coast of Zarzis, Tunisia - departed from Zuwara, Libya",1
"Ejido JerÃ³nimo, 3km south of the Santa Teresa Port of Entry, Chihuahua, Mexico",1
"Off the coast of Malo-les-Bains, near Dunkerque, Grand-Synthe, France",1
"Off the coast of Fethiye, TÃ¼rkiye",1
"35 miles off the coast of Motril, Granada, Spain in the Alboran Sea",1
"Murzuq, Libya",1
"Recovered on beach in Driouch region, Morocco (Alboran Sea)",1
"Body found upon disembarkation on Chafarinas Island, Spain (Alboran Sea)",1
"Cumulative total for Webb County Medical Examiner Jurisdiction, Texas",1
"Danube River near Karavukovo, Serbia near border with Croatia",1
"Body found floating near El Sarchal, Ceuta, Spain",1
"Van lake near Adilcevaz, Bitlis, TÃ¼rkiye",1
"Recoverd from Calamorcarro Beach, Ceuta, Spain",1
Unspecified location off the coast of Algeria,1
"Karaj, Iran",1
"Zahiddan, Iran",1
"Hawaz, Iran",1
"Mashah, Iran",1
"Body recovered near Thorntonback wind farm, near Zeebrugge Port, Belgium",1
"Pas-de-Calais, France",1
"M1 motorway Junction 18, Northamptonshire, UK",1
"Qatroun, Libya",1
"60 km outside of Arlitz, Niger on the way to Agadez, Niger",1
"50 km outside of Assamakka, Niger (heading towards Niger)",1
"Near Äenerala DraÅ¾e MihailoviÄa, Bosnia & Herzegovina",1
"Kantonalnoj bolnici Irfan LjubijankiÄ, Darivalaca krvi 67, BihaÄ 77000, Bosnia & Herzegovina",1
"The Una River near BihaÄ, Bosnia and Herzegovina",1
"The Drina River, Donji Å epak, near Zvornik, Bosnia and Herzegovina",1
"Unspecified location in Kamenac, KneÅ¾evi Vinogradi, Croatia",1
"Off the coast of Plage de Bousfer, Oran, Algeria. Remains recovered near Sidi-Fredj, Algiers and Jijel)",1
Unspecified location in the Alboran Sea near Morocco,1
"Body found on patera arriving in Alboran, Spain",1
"Unspecified location in desert near Tijeri, Libya",1
"Body recovered at sea between Al Hoceima and Chefchaouen, Morocco",1
"Unspecified location in the desert between Zigidim and Garin Kouka, Niger",1
Unspecified location near northern border of Niger,1
"Bodies recovered off the coast of Jijel, Algeria",1
"Sara region at the Chad-Libya border, Chad",1
"Road near the town of Khash, Sistan and Baluchistan, Iran ",1
"Bodies washed ashore on Qasr Al Akhyar, 80km east of Tripoli, Libya",1
"One mile off the coast of Isola dei Conigli, Lampedusa, Italy",1
Skeletal remains recovered on a Texas ranch about 80 miles from the US- Mexican border,1
"Unspecified location in desert between Sabha and Tripoli, Libya",1
"Tijeri, Libya",1
"Mao, desert zone to faya, Chad",1
"Mao, Chad",1
"30 miles off the coast of Melilla, Spain",1
"Ljubljana-Koper motorway, near the town of Vrhnika, Slovenia",1
"RÃ­o Bravo, near La Playita, Ejido Reynosa DÃ­az, Reynosa, Tamaulipas, Mexico",1
"Off the coast of Nouadhibou, Mauritania - boat departed from The Gambia",1
"Body recovered in Bouyafar, Morocco",1
Unspecified location in Niger desert near border with Libya,1
"Evros region, Greece: two bodies found near Evros/MeriÃ§ river in the village of Gemisti, and four bodies found near Korimvos, Greece",1
"Providence Children's Hospital, El Paso, Texas (girl was apparently ill when apprehended by US Border Patrol on 6 December 2019)",1
"Off the coast of Maghdia, Tlemcen, Algeria",1
Train tracks in Serbia near Croatian border after leaving from Sid Reception Center,1
Unspecified location in Egypt near border with Libya,1
"Cliffs near Socerb Castle, Slovenia, on the border near Trieste, Italy",1
"Off the coast of Cartagena, Murcia, Spain (Algeria route)",1
"Off the coast of Caleta de Caballo, Teguise, Lanzarote, Canary Islands, Spain",1
"Recovered from beach near Sirte, Libya",1
"Unknown location in the Central Mediterranean. Departed from Chetaibi, Annaba, Algeria - remains recovered at the Tunisian coasts between 27 Feb and 10 May",1
"Near Tetovo village of Vejce, North Macedonia",1
"Body recovered 10 miles off Palma Bay, Palma de Mallorca, Spain",1
"RÃ­o Bravo, Monterrey-Nuevo Laredo highway #85, 13km post, Nuevo Laredo, Tamaulipas, Mexico",1
"Unspecified location close to Matorral, Castillo del Romeral, Gran Canaria, Spain",1
"Between Anjouan, Comoros and Mayotte, France",1
"Enez, Edirme, TÃ¼rkiye (Greece-TÃ¼rkiye border)",1
"Off the coast of Sivrice Beach, AyvacÄ±k/Ãanakkale, TÃ¼rkiye",1
"Off the coast of Lesbos, Greece",1
"Rio Bravo near DÃ­az Ordaz, Tamaulipas, Mexico - Two bodies recovered, one between Diaz Ordaz and Reynosa and one at Reynosa.",1
"Body recoverd from the RÃ­o Bravo at Camargo, Tamaulipas, Mexico",1
" Pazarkule/Kastanies border crossing point in Edirme, TÃ¼rkiye (Greece-TÃ¼rkiye border)",1
"RÃ­o Bravo at Nuevo Laredo, Tamaulipas, Mexico",1
"On the railway tracks around Metz, France.",1
"Off the coast of El Haouaria, Nabeul, Tunisia",1
"Off the coast of Larache, Morocco (Gibraltar Strait/Atlantic route)",1
"Piedras Negras, Coahuila, Mexico (near international bridge #2)",1
"Wadi Suf Al-Jin, Bani Walid, Libya",1
"Boat capsized off the coast of Piedras Negras, ParaguanÃ¡, Venezuela - had departed from Tiraya, FalcÃ³n in an attempt to reach Aruba. Remains recovered off the coast of La Guajira, Colombia. ",1
"RÃ­o Bravo, Reynosa DÃ­az, Tamaulipas, Mexico",1
"17 nautical miles west of Dakhla, Western Sahara",1
"4km north of Plage Sidi Medjdoub, Kharouba, province of Mostaganem, Algeria (Algeria route)",1
"Remains recovered on Al Maya Shore, Zawiyah, Libya",1
"24km off the coast of Tan-Tan, Morocco",1
"Las Cruces, Piedras Negras, Coahuila, Mexico",1
"Body recovered off the coast of Collo, west of Skikda, wilaya of Skikda, Algeria - departed from Mostaganem on 28 January en route to Spain (Algeria route)",1
"40km north of Garabulli, Libya- Two bodies were recovered near Dafiniya, near Zliten, Libya.",1
"Body recovered off the coast of Benabdelmalek Ramdane, near Mostaganem, Algeria (Algeria route)",1
"RÃ­o Bravo, near Ejido El RamireÃ±o, Camargo, Tamaulipas, Mexico",1
"Body recovered on Sidi Hssain beach in Tazaghine, 65 kms west of Nador, Morocco (Alboran Sea)",1
"Off the coast of ArguineguÃ­n, Gran Canaria, Spain",1
"RÃ­o Bravo, near Colonia Santa Martha, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Died on board a boat found 15 nautical miles off the coast of Arrecife, Lanzarote, Spain",1
"Unspecified location in the desert, Chad",1
"Plaza Santa Cecilia, Tijuana, Baja California, Mexico",1
"Ionian Sea, south-west of the coast of Paxos, Greece",1
"Unspecified location in the desert, Chad, near Libya",1
"Body recovered on beach in Cuevas de Almanzora, AlmerÃ­a, Spain (Alboran Sea)",1
"Body recovered on Arekmane beach, Nador, Morocco (Alboran Sea)",1
"Died in hospital in Tijuana after being shot on 8 December 2019 in Zona Norte, Tijuana, Baja California, Mexico",1
"Hospital General de Zona NÃºmero 11, Nuevo Laredo, Tamaulipas, Mexico",1
"800km south of El Hierro, Canary Islands, Spain",1
"Timiaouine, Algeria",1
"RÃ­o Bravo, near the Rio Grande City â Camargo International Bridge, Camargo, Tamaulipas, Mexico",1
"One nautical mile off the coast of Mersin, TÃ¼rkiye",1
"RÃ­o Bravo, near Ejido El Centinela, Piedras Negras, Coahuila, Mexico",1
"RÃ­o Bravo, near Rancho Las Margaritas, Ejido San Isidro, Piedras Negras, Coahuila, Mexico",1
"Remains recovered at the Immortality Island in the Evros/MeriÃ§ river,MeriÃ§ district, TÃ¼rkiye",1
"Off the coast of Mostaganem, Algeria (Algeria route)",1
"Plage Blanche, Guelmim, Morocco",1
"RÃ­o Bravo, near Sullivan Sur, DÃ­az Ordaz, Tamaulipas, Mexico",1
"Road in Sabha, southwest Libya",1
"Near Mount Ararat, ÃaldÄ±ran district, Van province, TÃ¼rkiye - near border with Iran",1
"Found in the woods near Ilirska Bistrica but died in front of the Ilirska Bistrica police station, Inner Carniola, Slovenia",1
"Off the coast of Al Rowaik (15km from Ain Bambad), Yemen",1
"Van fell into irrigation canal near Barrero Adentro, Navarrete, Dominican Republic",1
"Five nautical miles north of Cap Falcon, Oran, Algeria",1
Sahara Desert in Mali,1
"RÃ­o Bravo, near El Saucito, Guerrero, Coahuila, Mexico",1
"Ranch near El Saucito, Coahuila, Mexico",1
"RÃ­o Bravo near Piedras Negras, Coahuila, Mexico",1
"Off the coast of La LÃ­nea de la ConcepciÃ³n, CÃ¡diz, Spain (Gibraltar Strait)",1
"RÃ­o Bravo, near Piedras Negras, Coahuila, Mexico",1
"Near Negotino, North Macedonia, on the highway from Gevgelija to Skopje",1
"Kupa River, near Slatina Pokupska (E of Karlovac, W of Sisak), Croatia ",1
"RÃ­o Bravo, near congregaciÃ³n Los RodrÃ­guez, Piedras Negras, Coahuila, Mexico",1
"65km north of Dakhla, Western Sahara Territory  - en route to the Canary Islands,65km north of Dakhla, Western Sahara Territory - en route to the Canary Islands",1
"400km north of Bordj Badji Mokhtar, en route to Reggane, Adrar, Algeria",1
"Irrigation canal near Evros/MeriÃ§ river, Yenikarpuzlu, Ä°psala, Edirne, TÃ¼rkiye",1
"Off the coast of Azzawya, Libya",1
"RÃ­o Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico",1
"Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece",1
"Body recovered in Dora river, near Bardonecchia, Piamonte, Italy",1
"Evros/MeriÃ§ river, near YenikadÄ±n, Edirne, TÃ¼rkiye",1
"Unspecified location in the Sahara Desert, Libya, near border with Sudan",1
"RÃ­o Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas",1
"Beach in Castillo de Manilva, MÃ¡laga, Spain",1
"Unspecified location in the Sahara Desert, near Kufra, Libya",1
"Off the coast of Playa Martinica, Aguadilla, Puerto Rico",1
"Close to the border with Iran, TÃ¼rkiye",1
"On the road to Sabha, Libya",1
"RÃ­o Bravo, near Donna-RÃ­o Bravo International Bridge, Tamaulipas, Mexico",1
"Matrouh, Egypt, near border with Libya",1
"Off the coast of either Al-Khums, Al-Zawiya or Tripoli, Libya",1
Off the coast of Yemen,1
"RÃ­o Bravo, near Calle Chihuahua, Nuevo Laredo, Tamaulipas, Mexico",1
"Near Mercado Zaragoza, Piedras Negras, Coahuila, Mexico",1
"Canal AnzaldÃºas, Reynosa, Tamaulipas, Mexico",1
"RÃ­o Bravo near La Amistad Dam, Ciudad AcuÃ±a, Coahuila, Mexico",1
"RÃ­o Bravo, nea Reynosa, Tamaulipas, Mexico",1
"Road near IlÄ±kaynak district, Ä°pekyolu, Van province, TÃ¼rkiye",1
"Hospital de la Familia -  - after being stabbed in colonia ChaveÃ±a, Ciudad JuÃ¡rez, Chihuahua, Mexico",1
"Hospital General de Ciudad JuÃ¡rez, Chihuaha, Mexico",1
"Hospital General Doctor Salvador ChavarrÃ­a in Piedras Negras, Coahuila, Mexico - after being rescued from the RÃ­o Bravo",1
"Off the coast of El Tarajal, Ceuta, Spain",1
"Bodies recovered near Sirte, Libya",1
"Unspecified location off the coast of Al-Khums, Libya",1
"RÃ­o Bravo, near Ejido Madero del RÃ­o, Ciudad AcuÃ±a, Coahuila, Mexico",1
"East Azerbaijan Province, Iran",1
"Velika KladuÅ¡a, Bosnia and Herzegovina, near border with Croatia",1
"Train tracks near Bihac, Bosnia and Herzegovina",1
"RÃ­o Bravo, near El Patinadero, Parque Viveros, Tamaulipas, Mexico",1
"RÃ­o Bravo, near Presa Internacional AnzaldÃºas, Reynosa, Tamaulipas, Mexico",1
"Body recovered off Cala del Desnarigado, Ceuta, Spain",1
"Syria-TÃ¼rkiye border, near Azmarin, Idlib, Syria",1
"Body recovered near Al Khums, Libya",1
"In the English Channel en route to coast of Kent, England ",1
"RÃ­o Bravo, near Presidentes, Piedras Negras, Coahuila, Mexico",1
Unspecified location in the Maltese SAR zone in the Mediterranean,1
"Unspecified ranch in Brooks County, Texas near U.S. Highway 281 Border Patrol checkpoint",1
"RÃ­o Bravo, near ejido Centinela, Piedras Negras, Coahuila, Mexico",1
"Off the coast of Cap Djinet, 20 km east of BoumerdÃ¨s, Algeria",1
"RÃ­o Bravo, near Guardados de Arriba, Ciudad Miguel AlemÃ¡n, Tamaulipas, Mexico",1
"Train tracks near Gradsko, North Macedonia",1
"Dirkou Health Center, Niger - right after crossing the border from Libya",1
"Off the coast of AltÄ±nova, AyvalÄ±k, BalÄ±kesir province, TÃ¼rkiye",1
"Bodies recovered on Le Touquet, Pas-de-Calais, France",1
"RÃ­o Bravo, near colonia Riberas del RÃ­o, Reynosa, Tamaulipas, Mexico",1
"Evros/MeriÃ§ river, AdasarhanlÄ±, MeriÃ§ district, Edirne, TÃ¼rkiye",1
"Body recovered on Playa del Chorrillo, Ceuta, Spain",1
"Unspecified location, in the desert before Libya, Chad",1
"RÃ­o Bravo, near Poblado Los Ãngeles, Miguel AlemÃ¡n, Tamaulipas, Mexico",1
"Unspecified location, in the desert before Libya border, Niger",1
"Masacre river, near La VigÃ­a, DajabÃ³n, Dominican Republic, on border with Haiti",1
"RÃ­o Bravo, near Ejido El Saucito, Guerrero, Coahuila, Mexico",1
"Inside a lorry container parked at Waterglade Industrial Park, Eastern Avenue, Grays, Essex, England, UK",1
"Off the coast of Kos, Greece - collision between a rubber boat and a coast guard vessel",1
"Unspecified location, in the desert border with Libya, Niger",1
"Unspecified location, Mali near border with Niger",1
"Clinic in Niamey, Niger - after returning from Libya",1
"Hospital in Tubac, Santa Cruz County, Arizona - soon after being apprehended after crossing the US-Mexico border",1
"Off the coast of Cartagena, Murcia, Spain - boat departed from Algeria",1
"Off the coast of KÃ¼Ã§Ã¼kkuyu, AyvacÄ±k, Ãanakkale, TÃ¼rkiye - en route to Lesvos, Greece",1
"607km south of Gran Canaria, Canary Islands, Spain",1
"Bodies found at sea on a small boat 25 miles from Tertenia, on the east coast of Sardinia, Italy",1
"RÃ­o Bravo, near Calle Galeana, Matamoros, Tamaulipas, Mexico",1
"Kolpa/Kupa river, near Vukovci, Slovenia, near border with Croatia",1
"Off the coast of Tobruk, Libya",1
"Unspecified location, before the Libya border, Niger",1
"Died in the hospital in Gevgelija, North Macedonia - after being found severely injured on 1 October 2019 near the railway station in Gevgelija",1
Unspecified location in Libya near the border with Algeria,1
"Bodies recovered on the coast of Oum Lbair, near Dakhla, Western Sahara Territories",1
"Off the coast of Plage Zenata, Ain Harrouda, MohammÃ©dia, Morocco (Atlantic Ocean route)",1
"Abusitta disembarkation point in Tripoli, Libya - hours after being intercepted at sea and returned to shore by the Libyan Coast Guard",1
"RÃ­o Bravo, near Ãbanos Sur, Gustavo DÃ­az Ordaz, Tamaulipas, Mexico",1
"Kano, Nigeria",1
"Zouerate, Tiris Zemmour region, Mauritania",1
"22 nautical miles north of Damous, wilaya of Tipaza, Algeria",1
"Body washed ashore near Tripoli, Libya",1
"Off the coast of Oinousses, Greece",1
"37 nautical miles north of TÃ©nÃ¨s, wilaya of Chlef, Algeria",1
"RÃ­o Bravo, Rancho El Porvenir, near Nuevo Laredo, Tamaulipas, Mexico",1
"RÃ­o Bravo, near Las Piedras, Reynosa, Tamaulipas, Mexico",1
"Off the coast of Krichtel, wilaya of Oran, Algeria",1
"Korana river, near Crnaja, municipality of Cazin, Una-Sana canton, Bosnia and Herzegovina",1
"Unspecified location, in the desert at the border with Chad",1
"Lake Sot, near Å id, Voivodina, Serbia - near border with Croatia",1
"Sahara desert near the Niger-Algeria border, in Nguezzam, Algeria",1
"RÃ­o Bravo, near Ejido Adolfo LÃ³pez Mateos (KM213 of Carretera RibereÃ±a, Nuevo Laredo, Tamaulipas, Mexico",1
"During medical evacuation to AlmerÃ­a, Spain - after being rescued from a boat in the Alboran Sea, 44 miles south-east of Motril, Granada",1
"RÃ­o Bravo, near poblado Los Guerra Viejo, Miguel AlemÃ¡n, Tamaulipas, Mexico",1
"Vranjska, municipality of BileÄa, Republika Srpska, Bosnia and Herzegovina - near border with Montenegro",1
"Unspecified location, in the desert before Libyan border, Niger",1
Waters near Greece while being towed back to Turkey,1
"RÃ­o Bravo, near colonia Carmen SerdÃ¡n, Reynosa, Tamaulipas, Mexico",1
"Evros/MeriÃ§ river, Ä°psala district, Edirne, TÃ¼rkiye",1
"Body found inside abandoned camp trailer in OsmanagiÄi, municipality of Cazin, Una-Sana canton, Bosnia and Herzegovina",1
"West of Tangier, Morocco",1
"Near La Madrague, Plage de Bousfer, Ain El TÃ¼rck, province of Oran, Algeria",1
"RÃ­o Bravo,Â near Ãjido El Bayito, Nuevo Laredo, Tamaulipas, Mexico",1
"RÃ­o Bravo, Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico",1
"Mirjaveh, Sistan and Baluchestan province, Iran",1
"Serjan, Kerman province, Iran",1
"54 km off El Ataya beach in Kerkennah Island, Tunisia",1
"Bodies recovered off the coast of Sfax, Tunisia",1
"Syrian/Turkish border, Al-Dorriyeh, near Darkoush, Jisr al-Shughur district, Idlib province",1
"Outside SÃ©guÃ©dine, Niger",1
"RÃ­o Bravo, near Kickapoo Casino, Eagle Pass, Maverick County, Texas",1
"Sahara desert, near Egypt-Libya border",1
"Al Sharif, Libya",1
"Off the coast of Melilla, Spain, near Beni Ensar",1
"Beach near Barrio Ensenada, RincÃ³n, Puerto Rico",1
"Outside Agadez, Niger",1
"Outside Dirkou, Niger, near the border with Libya",1
"Syrian/Turkish border, Ras al-Ayn, Hasaka governorate, Syria",1
"Body found under truck in ferry in Port of Melilla, Spain",1
"Mohamed V Hospital, Tangiers, Morocco,Off the coast of Tangiers, Morocco",1
"900m off the coast of Morro Jable, Fuerteventura, Canary Islands, Spain",1
"Pintor Ranch near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"North-west off Mtsamboro Island, Mayotte, France",1
"Off Kalymnos Island, Greece",1
"RÃ­o Bravo, near Puente III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico",1
"All American Canal, Drop 2, Winterhaven, Imperial County, California ",1
"30 nautical miles north of Tripoli, Libya",1
"Aspropotamos, near Mantamado, northeastern coast of Lesvos, Greece",1
"Unspecified location off the coast of Tangiers, Morocco",1
"Bodies retrieved in Petite Terre and Longoni, Mayotte, France",1
"Unspecified location between Sabratha, Libya and Italy",1
"Off the coast of Zarzis, Tunisia",1
"44km northwest of Tripoli, Libya",1
"Interstate 8, near Jacumba, San Diego County, California",1
"Near Rancho Santa RosalÃ­a, Nogales, Sonora, Mexico",1
"Open desert, Calexico, Imperial County, California ",1
"Unspecified location in the RÃ­o Bravo, Mexico",1
"Syrian/Turkish border, Idlib province, near Atma, Syria",1
"Egypt-Libya border, 310km southwest of Tobruk, Libya",1
"Body found on the coast near Al Khums, Libya",1
"Tahoua, Niger",1
"Highway between Khash and Iranshahr, Sistan and Baluchestan Province, Iran",1
"41 miles off the coast of AlmerÃ­a, Spain",1
"Iran, at the border with TÃ¼rkiye",1
Libya-Sudan border,1
"Hospital in Kastellorizo Island, Greece, after boat capsized off the coast of the island",1
"Bodies recovered in RÃ­o Yaque del Norte, Montecristi, Dominican Republic,RÃ­o Guayubincito, MartÃ­n GarcÃ­a, Dominican Republic, near the border with Haiti",1
"All American Canal, Drop 3, Holtville, Imperial County, California ",1
"West Azerbaijan province, Iran near border with TÃ¼rkiye",1
"Highway near Shiraz, Fars province, Iran",1
"Sudan, near the border with Egypt",1
"RÃ­o Bravo, near Miguel AlemÃ¡n, Tamaulipas, Mexico",1
"Sewage system under border fence, Beni Enzar, Morocco, at the border with Melilla, Spain",1
"RÃ­o Bravo, Ãjido Cavazos, Reynosa, Tamaulipas, Mexico",1
"Serbia-Romania border, near Jimbolia",1
"A28 motorway, near Abbeville, Somme, France",1
"Sahara desert outside Atbara, Sudan",1
"Beach in Tangiers, Morocco",1
"RÃ­o Bravo, DÃ­az Ordaz, Tamaulipas, Mexico",1
"Jisr al-Shughur, Syria near border with TÃ¼rkiye",1
"Tunduma, on the Tanzania-Zambia border",1
"Hospital in Edirne, TÃ¼rkiye, after falling into Evros river, Greece-TÃ¼rkiye border",1
"Near Calais, France",1
"Body recovered near Playa de Juan XXIII, Ceuta, Spain",1
"Near Tripoli, Libya",1
"Sabratha, Libya",1
"A8 motorway near Roquebrune-Cap-Martin, France",1
"A26 motorway, near Nortkerque, Calais, France",1
"DariÃ©n province, Panama, near border with Colombia",1
"San Diego County, California",1
"E40 Motorway, near Aalter, Belgium",1
"Baranja Forest, near Zlatna Greda, Croatia",1
"Rio Bravo, at Donna Rio Bravo International Bridge, Tamaulipas, Mexico",1
"Off the coast of SanlÃºcar de Barrameda, CÃ¡diz, Spain",1
"Near Tanger-Med cargo port, 40km east of Tangiers, Morocco",1
"Off the coast of Garabuli, Libya",1
"A16 motorway, km 90 near Marck, Calais, France",1
"Beach in Zemmouri El Bahri, 16 kms east of BoumerdÃ¨s, Algeria",1
"Menton train station, France, near the border with Ventimiglia, Italy",1
"Playa BastiÃ¡n in Costa Teguise, Lanzarote, Canary Islands, Spain",1
"8 nautical miles off Cap Falcon, AÃ¯n El Turk, wilaya of Oran, Algeria",1
"10 miles west of Alboran Island, Spain",1
"Sahara desert, near Abu Hamad, Sudan",1
"Body washed up in Qarapoli, Libya",1
"RÃ­o Bravo, Colonia Hidalgo, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of Arah, Lahj Governorate, Yemen",1
"Unspecified location in Isfahan, Iran",1
"Surman, Libya",1
"4 miles off the coast of San Roque, CÃ¡diz, Spain",1
"5 miles south of Tarifa, CÃ¡diz, Spain",1
"Bodies retrieved in Al Maya, Libya",1
"Open desert, Ocotillo,  Imperial County, California",1
"Santa Catalina, Ceuta, Spain",1
"Off the coast of Garabulli, Libya",1
"Off the coast of Tarifa, CÃ¡diz, Spain",1
"Off the coast of Barbate, CÃ¡diz, Spain",1
"Off the coast of Mytilene, Lesvos, Greece",1
"Brak Shati, Libya",1
"Body found inside boat in Port of Melilla, Spain",1
"Open desert, Salton City, Imperial County, California ",1
"5 miles south of Cape Trafalgar, near Barbate, CÃ¡diz, Spain",1
"Tecate, Baja California, Mexico",1
"Jones Ranch near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"In AltÄ±nÃ¶zÃ¼ district, Hatay, TÃ¼rkiye. Likely crossed at Reyhanli border checkpoint.",1
"3,5 miles east of Kharrouba, Mostaganem, Algeria",1
"Off the coast of Larache, Morocco",1
"Off the coast of Maro, Nerja, Spain",1
"Isabella Ranch near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"Ranch near Norias, Kenedy County, Texas / USBP Rio Grande Valley Sector",1
"RÃ­o Bravo, 1708 Old Military Road, PeÃ±itas, Hidalgo County, Texas",1
"Off Plage de Messida, El Kala, wilaya of El Tarf, Algeria, en route to Italy",1
"Sahara desert, near Sabha, Libya",1
"Colonia Pima 2, northeast Nogales, Sonora, Mexico",1
